-minecraft:ocean	Ocean
-nt:red_sand_dune	Red Sand Dune
-nt:rockland	Rockland
-nt:sahel	Sahel
-nt:sand_dune	Sand Dune
-nt:sandy_mountains	Sandy Mountains
-nt:scrubland	Scrubland
-nt:tropical_desert	Tropical Desert
-nt:alps	Alps
-nt:cold_birch_forest	Cold Birch Forest
-nt:cold_birch_forest_hills	Cold Birch Forest Hills
-nt:cold_blue_taiga	Cold Blue Taiga
-nt:cold_blue_taiga_hills	Cold Blue Taiga Hills
-nt:cold_desert	Cold Desert
-nt:cold_flower_forest	Cold Flower Forest
-nt:cold_flower_forest_hills	Cold Flower Forest Hills
-nt:cold_forest	Cold Forest
-nt:cold_forest_hills	Cold Forest Hills
-nt:cold_mega_blue_taiga	Cold Mega Blue Taiga
-nt:cold_mega_blue_taiga_hills	Cold Mega Blue Taiga Hills
-nt:cold_mega_spruce_taiga	Cold Mega Spruce Taiga
-nt:cold_mega_spruce_taiga_hills	Cold Mega Spruce Taiga Hills
-nt:cold_mega_taiga	Cold Mega Taiga
-nt:cold_mega_taiga_hills	Cold Mega Taiga Hills
-nt:cold_roofed_forest	Cold Roofed Forest
-nt:cold_roofed_forest_hills	Cold Roofed Forest Hills
-nt:glacier	Glacier
-nt:icy_tundra	Icy Tundra
-nt:snowdune	Snow Dune
-nt:tundra	Tundra
-nuclearcraft:nuclear_wasteland	Nuclear Wasteland
-traverse:autumnal_woods	Autumnal Woods
-traverse:woodlands	Woodlands
-traverse:mini_jungle	Mini Jungle
-traverse:meadow	Meadow
-traverse:green_swamp	Lush Swamp
-traverse:red_desert	Red Desert
-traverse:temperate_rainforest	Temperate Rainforest
-traverse:badlands	Badlands
-traverse:mountainous_desert	Mountainous Desert
-traverse:rocky_plateau	Rocky Plateau
-traverse:forested_hills	Forested Hills
-traverse:birch_forested_hills	Birch Forested Hills
-traverse:autumnal_wooded_hills	Autumnal Wooded Hills
-traverse:cliffs	Cliffs
-traverse:glacier	Glacier
-traverse:glacier_spikes	Glacier Spikes
-traverse:snowy_coniferous_forest	Snowy Coniferous Forest
-traverse:lush_hills	Lush Hills
-traverse:canyon	Canyon
-traverse:crag_cliffs	Crag Cliffs
-traverse:desert_shrubland	Desert Shrubland
-traverse:thicket	Thicket
-traverse:arid_highland	Arid Highland
-traverse:rocky_plains	Rocky Plains
-midnight:vigilant_forest	vigilant_forest
-midnight:black_ridge	black_ridge
-midnight:deceitful_bog	deceitful_bog
-midnight:fungi_forest	fungi_forest
-midnight:obscured_peaks	obscured_peaks
-midnight:warped_fields	warped_fields
-midnight:crystal_spires	crystal_spires
-midnight:night_plains	night_plains
-midnight:obscured_plateau	obscured_plateau
-midnight:phantasmal_valley	phantasmal_valley
-midnight:runebush_grove	runebush_grove
-midnight:hilly_vigilant_forest	hilly_vigilant_forest
-midnight:hilly_fungi_forest	hilly_fungi_forest
-advancedrocketry:moon	Moon
-advancedrocketry:alien forest	Alien Forest
-advancedrocketry:hotdryrock	HotDryRock
-advancedrocketry:space	Space
-advancedrocketry:stormland	Stormland
-advancedrocketry:crystalchasms	CrystalChasms
-advancedrocketry:deepswamp	DeepSwamp
-advancedrocketry:marsh	Marsh
-advancedrocketry:oceanspires	OceanSpires
-advancedrocketry:moondark	MoonDark
-advancedrocketry:volcanic	Volcanic
-advancedrocketry:volcanicbarren	VolcanicBarren
-byg:bjacarandaforest	Jacaranda Forest
-byg:bcikaforest	Cika Forest
-byg:bwoodlands	Woodlands
-byg:bredoakforest	Red Oak Forest
-byg:bancientforest	Ancient Forest
-byg:bgreatoaklowlands	Great Oak Lowlands
-byg:bzelkovaforest	Zelkova Forest
-byg:bskyrishighlands	Skyris Highlands
-byg:bbluetaiga	Blue Taiga
-byg:balps	Alps
-byg:bborealforest	Boreal Forest
-byg:bfungaljungle	Fungal Jungle
-byg:bmangrovemarshes	Mangrove Marshes
-byg:bseasonaltaiga	Seasonal Taiga
-byg:bseasonalforest	Seasonal Forest
-byg:bmapleforest	Maple Taiga
-byg:bredwoodtropics	Redwood Tropics
-byg:bcherrygrove	Cherry Grove
-byg:bstellatapasture	Stellata Pasture
-byg:borchard	Orchard
-byg:bmeadow	Meadow
-byg:bsonorandesert	Sonoran Desert
-byg:btropicalrainforest	Tropical Rainforest
-byg:bpinemountains	Pine Mountains
-byg:bconiferousforest	Coniferous Forest
-byg:bgrasslandplateau	Grassland Plateau
-byg:bshrublands	Shrublands
-byg:bglaciers	Glaciers
-byg:bsavannacanopy	Savanna Canopy
-byg:balliumfields	Allium Fields
-byg:bquagmire	Quagmire
-byg:bbog	Bog
-byg:bdunes	Dunes
-byg:breddesert	Red Desert
-byg:bbayou	Bayou
-byg:bdeadsea	Dead Sea
-byg:bbaobabsavanna	Baobab Savanna
-byg:bevergreentaiga	Evergreen Taiga
-byg:bseasonaldeciduous	Seasonal Deciduous
-byg:bchaparrallowlands	Chaparral Lowlands
-byg:bdeciduousforest	Deciduous Forest
-byg:bsnowyevergeentaiga	Snowy Evergreen Taiga
-byg:bweepingwitchforest	Weeping Witch Forest
-byg:bsnowypinemountains	Snowy Pine Mountains
-byg:bsnowyconiferousforest	Snowy Coniferous Forest
-byg:bfrostyforest	Frosty Forest
-byg:bglowshroombayou	Glowshroom Bayou
-byg:benchantedforest	Enchanted Forest
-byg:btropicalmountains	Tropical Mountains
-byg:bseasonalbirchforest	Seasonal Birch Forest
-byg:bebonywoods	Ebony Woods
-byg:blushdesert	Lush Desert
-byg:boutback	Outback
-byg:bwhisperingwoods	Whispering Woods
-byg:bgreatlakes	Great Lakes
-byg:bdovermoutains	Dover Mountains
-byg:bamaranth_fields	Amaranth Fields
-byg:bgiant_blue_spruce_taiga	Giant Blue Spruce Taiga
-byg:bprairie	Prairie
-byg:bgiant_seasonal_spruce_taiga	Giant Seasonal Spruce Taiga
-byg:btropical_islands	Tropical Islands
-byg:bcypress_swamplands	Cypress Swamplands
-byg:boutlands	Outlands
-byg:bred_outlands	Red Outlands
-byg:bpine_lowlands	Pine Lowlands
-byg:bbluff_mountains	Bluff Mountains
-byg:bstone_brushlands	Stone Brushlands
-byg:baspenforest	Aspen Forest
-byg:bmarshlands	Marshlands
-byg:bfloweringplains	Flowering Plains
-byg:bsnowydeciduousforest	Snowy Deciduous Forest
-byg:bnorthernforest	Northern Forest
-byg:bgiant_snowy_spruce_taiga	Giant Snowy Spruce Taiga
-byg:bcrystal_canyons	Crystal Canyons
-byg:bcolored_canyons	Colored Canyons
-thebetweenlands:patchy_islands	Patchy Islands
-thebetweenlands:swamplands	Swamplands
-thebetweenlands:deep_waters	Deep Waters
-thebetweenlands:coarse_islands	Coarse Islands
-thebetweenlands:raised_isles	Raised Isles
-thebetweenlands:sludge_plains	Sludge Plains
-thebetweenlands:marsh_0	Marsh 0
-thebetweenlands:marsh_1	Marsh 1
-thebetweenlands:swamplands_clearing	Swamplands Clearing
-thebetweenlands:sludge_plains_clearing	Sludge Plains Clearing
